2.480000000000000000e+03 8.984259999999999469e-01 9.095250000000000279e-01 9.999980000000000535e-01 9.997009999999999508e-01 9.999970000000000248e-01 1.000000000000000000e+00 9.996329999999999938e-01 1.000000000000000000e+00 1.000000000000000000e+00 9.998700000000000365e-01 9.885890000000000510e-01
2.480012400000000071e+03 9.049479999999999746e-01 9.161989999999999856e-01 9.999980000000000535e-01 9.996669999999999723e-01 9.999970000000000248e-01 1.000000000000000000e+00 9.995910000000000073e-01 1.000000000000000000e+00 1.000000000000000000e+00 9.998700000000000365e-01 9.885890000000000510e-01
2.480024800000000141e+03 9.086710000000000065e-01 9.204179999999999584e-01 9.999980000000000535e-01 9.992980000000000196e-01 9.999970000000000248e-01 1.000000000000000000e+00 9.994699999999999696e-01 1.000000000000000000e+00 1.000000000000000000e+00 9.998700000000000365e-01 9.885880000000000223e-01
2.480037200000000212e+03 9.027939999999999854e-01 9.227509999999999879e-01 9.999980000000000535e-01 9.901330000000000409e-01 9.999980000000000535e-01 1.000000000000000000e+00 9.996669999999999723e-01 1.000000000000000000e+00 1.000000000000000000e+00 9.998700000000000365e-01 9.885880000000000223e-01
2.480049599999999828e+03 9.006020000000000136e-01 9.238199999999999745e-01 9.999980000000000535e-01 9.864389999999999548e-01 9.999980000000000535e-01 1.000000000000000000e+00 9.998089999999999478e-01 1.000000000000000000e+00 1.000000000000000000e+00 9.998700000000000365e-01 9.885880000000000223e-01
2.480062000999999782e+03 9.122249999999999526e-01 9.240260000000000140e-01 9.999980000000000535e-01 9.989099999999999646e-01 9.999980000000000535e-01 1.000000000000000000e+00 9.998479999999999590e-01 1.000000000000000000e+00 1.000000000000000000e+00 9.998700000000000365e-01 9.885880000000000223e-01
2.480074400999999853e+03 9.117610000000000436e-01 9.236240000000000006e-01 9.999980000000000535e-01 9.988209999999999589e-01 9.999980000000000535e-01 1.000000000000000000e+00 9.998639999999999750e-01 1.000000000000000000e+00 1.000000000000000000e+00 9.998700000000000365e-01 9.885880000000000223e-01
2.480086800999999923e+03 9.014090000000000158e-01 9.227140000000000342e-01 9.999980000000000535e-01 9.884349999999999525e-01 9.999980000000000535e-01 1.000000000000000000e+00 9.998829999999999663e-01 1.000000000000000000e+00 1.000000000000000000e+00 9.998700000000000365e-01 9.885880000000000223e-01
2.480099201999999877e+03 9.077669999999999906e-01 9.212730000000000086e-01 9.999980000000000535e-01 9.969679999999999653e-01 9.999980000000000535e-01 1.000000000000000000e+00 9.998810000000000198e-01 1.000000000000000000e+00 1.000000000000000000e+00 9.998700000000000365e-01 9.885880000000000223e-01
2.480111601999999948e+03 8.975720000000000365e-01 9.192390000000000283e-01 9.999980000000000535e-01 9.879980000000000429e-01 9.999980000000000535e-01 1.000000000000000000e+00 9.998329999999999718e-01 1.000000000000000000e+00 1.000000000000000000e+00 9.998700000000000365e-01 9.885880000000000223e-01
2.480124002999999902e+03 9.047269999999999479e-01 9.165539999999999798e-01 9.999980000000000535e-01 9.988660000000000316e-01 9.999980000000000535e-01 1.000000000000000000e+00 9.997599999999999820e-01 1.000000000000000000e+00 1.000000000000000000e+00 9.998700000000000365e-01 9.885880000000000223e-01
2.480136402999999973e+03 9.026760000000000339e-01 9.137830000000000119e-01 9.999980000000000535e-01 9.995429999999999593e-01 9.999980000000000535e-01 1.000000000000000000e+00 9.998390000000000333e-01 1.000000000000000000e+00 1.000000000000000000e+00 9.998700000000000365e-01 9.885880000000000223e-01
2.480148803999999927e+03 9.000730000000000119e-01 9.110979999999999634e-01 9.999980000000000535e-01 9.995760000000000201e-01 9.999970000000000248e-01 1.000000000000000000e+00 9.998629999999999463e-01 1.000000000000000000e+00 1.000000000000000000e+00 9.998700000000000365e-01 9.885880000000000223e-01
2.480161204999999882e+03 8.961959999999999926e-01 9.077600000000000113e-01 9.999970000000000248e-01 9.989580000000000126e-01 9.999959999999999960e-01 1.000000000000000000e+00 9.998359999999999470e-01 1.000000000000000000e+00 1.000000000000000000e+00 9.998700000000000365e-01 9.885880000000000223e-01
2.480173605999999836e+03 8.835340000000000416e-01 9.037260000000000293e-01 9.999970000000000248e-01 9.893420000000000547e-01 9.999940000000000495e-01 1.000000000000000000e+00 9.997359999999999580e-01 1.000000000000000000e+00 1.000000000000000000e+00 9.998700000000000365e-01 9.885880000000000223e-01
2.480186006999999790e+03 8.872409999999999464e-01 8.991559999999999553e-01 9.999949999999999672e-01 9.989059999999999606e-01 9.999909999999999632e-01 1.000000000000000000e+00 9.993790000000000173e-01 1.000000000000000000e+00 1.000000000000000000e+00 9.998700000000000365e-01 9.885880000000000223e-01
2.480198406999999861e+03 8.827040000000000441e-01 8.940759999999999819e-01 9.999930000000000208e-01 9.995509999999999673e-01 9.999909999999999632e-01 1.000000000000000000e+00 9.992750000000000243e-01 1.000000000000000000e+00 1.000000000000000000e+00 9.998700000000000365e-01 9.885869999999999935e-01
2.480210807999999815e+03 8.771759999999999557e-01 8.882809999999999873e-01 9.999890000000000168e-01 9.993619999999999726e-01 9.999940000000000495e-01 1.000000000000000000e+00 9.996829999999999883e-01 1.000000000000000000e+00 1.000000000000000000e+00 9.998700000000000365e-01 9.885869999999999935e-01
2.480223209000000224e+03 8.653760000000000341e-01 8.816619999999999457e-01 9.999869999999999592e-01 9.931799999999999518e-01 9.999959999999999960e-01 1.000000000000000000e+00 9.998160000000000380e-01 1.000000000000000000e+00 1.000000000000000000e+00 9.998700000000000365e-01 9.885869999999999935e-01
2.480235611000000063e+03 8.626869999999999816e-01 8.742640000000000411e-01 9.999909999999999632e-01 9.984480000000000022e-01 9.999970000000000248e-01 1.000000000000000000e+00 9.998449999999999838e-01 1.000000000000000000e+00 1.000000000000000000e+00 9.998700000000000365e-01 9.885869999999999935e-01
