2740.00000000 0.38680636 0.00059579 0.38680600
2739.96085800 0.38614394 0.00059243 0.38614400
2739.92171600 0.38633835 0.00059172 0.38633800
2739.88257500 0.38563039 0.00059088 0.38563000
2739.84343400 0.38542872 0.00059074 0.38542900
2739.80429400 0.38620579 0.00059134 0.38620600
2739.76515500 0.38394308 0.00059022 0.38394300
2739.72601600 0.38662029 0.00059233 0.38662000
2739.68687700 0.38768606 0.00059398 0.38768600
2739.64773900 0.38536444 0.00059451 0.38536400
2739.60860200 0.38775550 0.00060036 0.38775500
2739.56946500 0.38737953 0.00059970 0.38738000
2739.53032900 0.38765119 0.00059919 0.38765100
2739.49119400 0.38654274 0.00060079 0.38654300
2739.45205900 0.32053162 0.00055697 0.32053200
2739.41292400 0.38733203 0.00059781 0.38733200
2739.37379000 0.38769831 0.00059812 0.38769800
2739.33465700 0.38747597 0.00060086 0.38747600
2739.29552400 0.38597438 0.00062351 0.38597400
2739.25639200 0.38574327 0.00061029 0.38574300
2739.21726000 0.38613169 0.00060046 0.38613200
2739.17812900 0.38526025 0.00059820 0.38526000
2739.13899900 0.38686576 0.00060047 0.38686600
2739.09986900 0.38129194 0.00060096 0.38129200
2739.06073900 0.35723976 0.00059139 0.35724000
2739.02161000 0.38732260 0.00062343 0.38732300
2738.98248200 0.38753915 0.00064789 0.38753900
2738.94335400 0.38601517 0.00069715 0.38601500
2738.90422700 0.38687351 0.00071871 0.38687400
2738.86510000 0.38723137 0.00068168 0.38723100
2738.82597400 0.38688686 0.00069488 0.38688700
2738.78684900 0.32568279 0.00064209 0.32568300
2738.74772400 0.38311356 0.00063417 0.38311400
2738.70859900 0.38677651 0.00065195 0.38677700
2738.66947600 0.38664231 0.00062340 0.38664200
2738.63035200 0.38713092 0.00060645 0.38713100
2738.59122900 0.38711938 0.00060131 0.38711900
2738.55210700 0.38589125 0.00059654 0.38589100
2738.51298600 0.38447423 0.00059451 0.38447400
2738.47386500 0.38520606 0.00059408 0.38520600
2738.43474400 0.38635456 0.00059434 0.38635500
2738.39562400 0.38700674 0.00059470 0.38700700
2738.35650500 0.38738301 0.00059532 0.38738300
2738.31738600 0.38739735 0.00059595 0.38739700
2738.27826800 0.38747261 0.00059706 0.38747300
2738.23915000 0.38720453 0.00059964 0.38720500
2738.20003300 0.37534378 0.00060245 0.37534400
2738.16091600 0.38628177 0.00065979 0.38628200
2738.12180000 0.38468920 0.00062992 0.38468900
2738.08268500 0.32428167 0.00058947 0.32428200
2738.04357000 0.38624087 0.00063892 0.38624100
2738.00445600 0.38729630 0.00062206 0.38729600
2737.96534200 0.38729495 0.00060733 0.38729500
2737.92622900 0.38697710 0.00060169 0.38697700
2737.88711600 0.38699513 0.00059694 0.38699500
2737.84800400 0.38703111 0.00059488 0.38703100
2737.80889200 0.38712499 0.00059389 0.38712500
2737.76978100 0.38704876 0.00059336 0.38704900
2737.73067100 0.38693067 0.00059422 0.38693100
2737.69156100 0.38694558 0.00059278 0.38694600
2737.65245200 0.38704546 0.00059251 0.38704500
2737.61334300 0.38698547 0.00059501 0.38698500
2737.57423500 0.38693521 0.00059722 0.38693500
2737.53512700 0.38680458 0.00059220 0.38680500
