2700.09402500 0.00004209
2700.13259800 0.00004289
2700.17117100 0.00004371
2700.20974500 0.00004762
2700.24832000 0.00005235
2700.28689500 0.00005708
2700.32547000 0.00006732
2700.36404600 0.00007760
2700.40262300 0.00008367
2700.44120000 0.00007153
2700.47977800 0.00005939
2700.51835600 0.00005211
2700.55693500 0.00005257
2700.59551400 0.00005302
2700.63409400 0.00004987
2700.67267500 0.00004466
2700.71125600 0.00003924
2700.74983700 0.00004028
2700.78842000 0.00004307
2700.82700200 0.00004585
2700.86558600 0.00004759
2700.90416900 0.00004932
2700.94275400 0.00004990
2700.98133900 0.00004547
2701.01992400 0.00004102
2701.05851000 0.00003804
2701.09709700 0.00003740
2701.13568400 0.00003676
2701.17427100 0.00004148
2701.21286000 0.00004998
2701.25144800 0.00005847
2701.29003800 0.00005774
2701.32862700 0.00005449
2701.36721800 0.00005114
2701.40580900 0.00005241
2701.44440000 0.00005364
2701.48299200 0.00005660
2701.52158500 0.00006688
2701.56017800 0.00007713
2701.59877200 0.00008406
2701.63736600 0.00008571
2701.67596100 0.00008732
2701.71455600 0.00009074
2701.75315200 0.00009538
2701.79174900 0.00010003
2701.83034600 0.00014461
2701.86894300 0.00019994
2701.90754100 0.00025528
2701.94614000 0.00029618
2701.98473900 0.00033690
2702.02333900 0.00041722
2702.06193900 0.00066790
2702.10054000 0.00091845
2702.13914200 0.00097944
2702.17774400 0.00073996
2702.21634600 0.00050387
2702.25494900 0.00036169
2702.29355300 0.00028336
2702.33215700 0.00020786
2702.37076200 0.00018330
2702.40936700 0.00017260
2702.44797300 0.00016168
2702.48658000 0.00014311
2702.52518700 0.00012446
2702.56379400 0.00012304
2702.60240200 0.00019293
2702.64101100 0.00026267
2702.67962000 0.00030455
2702.71823000 0.00030228
2702.75684000 0.00030000
2702.79545100 0.00027424
2702.83406200 0.00023159
2702.87267400 0.00018980
2702.91128600 0.00017581
2702.94989900 0.00016940
2702.98851300 0.00016296
2703.02712700 0.00022505
2703.06574200 0.00028807
2703.10435700 0.00032634
2703.14297300 0.00025672
2703.18158900 0.00018700
2703.22020600 0.00014608
2703.25882300 0.00015024
2703.29744100 0.00015483
2703.33606000 0.00013758
2703.37467900 0.00010512
2703.41329900 0.00007269
2703.45191900 0.00007658
2703.49054000 0.00009012
2703.52916100 0.00010346
2703.56778300 0.00009949
2703.60640500 0.00009596
2703.64502800 0.00009033
2703.68365200 0.00007742
2703.72227600 0.00006437
2703.76090000 0.00005603
2703.79952500 0.00005395
2703.83815100 0.00005104
2703.87677700 0.00005356
2703.91540400 0.00005694
2703.95403100 0.00005754
2703.99265900 0.00007593
2704.03128800 0.00010204
2704.06991700 0.00013336
2704.10854600 0.00013459
