2740.00000000 0.00027426 0.00027426
2739.89040400 0.00023209 0.00023209
2739.78081300 0.00027616 0.00027616
2739.67122600 0.00058781 0.00058781
2739.56164400 0.00108995 0.00108995
2739.45206600 0.00112490 0.00112490
2739.34249200 0.00096927 0.00096927
2739.23292300 0.00123791 0.00123791
2739.12335800 0.00148365 0.00148365
2739.01379700 0.00479560 0.00479560
2738.90424100 0.01180005 0.01180010
2738.79468900 0.00597221 0.00597221
2738.68514200 0.00263275 0.00263275
2738.57559900 0.00093758 0.00093758
2738.46606000 0.00059710 0.00059710
2738.35652600 0.00061579 0.00061580
2738.24699600 0.00095462 0.00095462
2738.13747100 0.00312955 0.00312955
2738.02794900 0.00453459 0.00453459
2737.91843300 0.00124073 0.00124073
2737.80892000 0.00050505 0.00050505
2737.69941200 0.00033626 0.00033626
2737.58990900 0.00030804 0.00030804
2737.48041000 0.00031884 0.00031884
2737.37091500 0.00047970 0.00047970
2737.26142400 0.00115512 0.00115512
2737.15193800 0.00465817 0.00465817
2737.04245700 0.00354629 0.00354629
2736.93297900 0.00078520 0.00078520
2736.82350600 0.00042230 0.00042230
2736.71403800 0.00046104 0.00046104
2736.60457400 0.00037632 0.00037632
2736.49511400 0.00027641 0.00027641
2736.38565800 0.00029385 0.00029385
2736.27620700 0.00053500 0.00053500
2736.16676100 0.00206734 0.00206734
2736.05731800 0.00302261 0.00302261
2735.94788000 0.00077543 0.00077543
2735.83844700 0.00047691 0.00047692
2735.72901800 0.00088907 0.00088907
2735.61959300 0.00080556 0.00080556
2735.51017200 0.00041174 0.00041174
2735.40075600 0.00059441 0.00059441
2735.29134500 0.00025646 0.00025646
2735.18193700 0.00020569 0.00020569
2735.07253500 0.00023788 0.00023788
2734.96313600 0.00028787 0.00028787
2734.85374200 0.00024900 0.00024900
2734.74435200 0.00012571 0.00012571
2734.63496700 0.00017750 0.00017750
2734.52558600 0.00030807 0.00030807
2734.41620900 0.00051481 0.00051481
2734.30683700 0.00013873 0.00013873
2734.19746900 0.00010839 0.00010839
2734.08810500 0.00011047 0.00011047
2733.97874600 0.00021308 0.00021308
2733.86939100 0.00048252 0.00048252
2733.76004100 0.00063908 0.00063908
2733.65069500 0.00038384 0.00038384
2733.54135300 0.00022294 0.00022294
2733.43201600 0.00013232 0.00013232
2733.32268300 0.00015290 0.00015290
2733.21335500 0.00024729 0.00024729
2733.10403000 0.00040394 0.00040394
2732.99471100 0.00060475 0.00060475
2732.88539500 0.00027574 0.00027574
2732.77608400 0.00042948 0.00042948
2732.66677800 0.00078314 0.00078314
2732.55747500 0.00157559 0.00157559
2732.44817700 0.00257863 0.00257863
2732.33888400 0.00053596 0.00053596
2732.22959500 0.00023065 0.00023065
2732.12031000 0.00017139 0.00017139
2732.01102900 0.00015462 0.00015462
2731.90175300 0.00017121 0.00017121
2731.79248200 0.00027288 0.00027288
2731.68321400 0.00019053 0.00019053
2731.57395100 0.00024723 0.00024723
2731.46469300 0.00051780 0.00051780
2731.35543800 0.00041373 0.00041373
2731.24618900 0.00071914 0.00071914
2731.13694300 0.00103962 0.00103962
2731.02770200 0.00312792 0.00312792
2730.91846500 0.00818742 0.00818742
2730.80923300 0.00248838 0.00248838
2730.70000500 0.00085522 0.00085522
