# wavelength_um	value
3.65777752	3.84165140e-01
3.65782977	3.84165020e-01
3.65788203	3.83354750e-01
3.65793428	3.84863480e-01
3.65798654	3.85009960e-01
3.65803880	3.81506680e-01
3.65809106	3.81817350e-01
3.65814331	3.83846620e-01
3.65819557	3.83828790e-01
3.65824783	3.82617260e-01
3.65830009	3.80679310e-01
3.65835235	3.74509430e-01
3.65840462	3.55599500e-01
3.65845688	3.37451430e-01
3.65850914	3.55504130e-01
3.65856141	3.40178610e-01
3.65861367	3.79418820e-01
3.65866594	3.80670550e-01
3.65871821	3.83331440e-01
3.65877047	3.84810620e-01
3.65882274	3.85222300e-01
3.65887501	3.85255980e-01
3.65892728	3.85411040e-01
3.65897955	3.85571620e-01
3.65903182	3.85762540e-01
3.65908409	3.85757300e-01
3.65913637	3.85802080e-01
3.65918864	3.85310000e-01
3.65924091	3.84728650e-01
3.65929319	3.85072040e-01
3.65934546	3.85782850e-01
3.65939774	3.85722690e-01
3.65945002	3.54442860e-01
3.65950230	3.85271540e-01
3.65955457	3.85421850e-01
3.65960685	3.85422460e-01
3.65965913	3.84878100e-01
3.65971141	3.85274870e-01
3.65976370	3.85829570e-01
3.65981598	3.85909480e-01
3.65986826	3.84843640e-01
3.65992054	3.79019710e-01
3.65997283	3.78006930e-01
3.66002511	3.81688200e-01
3.66007740	3.82531360e-01
3.66012969	3.85033020e-01
3.66018198	3.85522680e-01
3.66023426	3.85540540e-01
3.66028655	3.84058310e-01
3.66033884	3.55631900e-01
3.66039113	3.83765590e-01
3.66044342	3.85258450e-01
3.66049572	3.85385830e-01
3.66054801	3.85779140e-01
3.66060030	3.85963230e-01
3.66065260	3.85929240e-01
3.66070489	3.85721430e-01
3.66075719	3.84532690e-01
3.66080949	3.83433460e-01
3.66086178	3.84256780e-01
3.66091408	3.85574720e-01
3.66096638	3.85823640e-01
3.66101868	3.85682550e-01
3.66107098	3.85536550e-01
3.66112328	3.84819970e-01
3.66117558	3.83936680e-01
3.66122788	3.59525310e-01
3.66128019	3.83957960e-01
3.66133249	3.85246560e-01
3.66138480	3.85387480e-01
3.66143710	3.85348520e-01
3.66148941	3.85263750e-01
3.66154171	3.62939060e-01
3.66159402	3.84389350e-01
3.66164633	3.85643580e-01
3.66169864	3.85726990e-01
3.66175095	3.85762510e-01
3.66180326	3.85759200e-01
3.66185557	3.85642600e-01
3.66190788	3.85541840e-01
3.66196020	3.85070690e-01
3.66201251	3.83405670e-01
3.66206482	3.83120070e-01
3.66211714	3.64238510e-01
3.66216946	3.85238690e-01
3.66222177	3.85565550e-01
3.66227409	3.84856150e-01
3.66232641	3.81174870e-01
3.66237873	3.82172590e-01
3.66243105	3.85380410e-01
3.66248337	3.85492000e-01
3.66253569	3.84572750e-01
3.66258801	3.85319030e-01
3.66264033	3.85389330e-01
3.66269266	3.85017930e-01
3.66274498	3.84181860e-01
3.66279731	3.82428650e-01
3.66284963	3.80456120e-01
3.66290196	3.77064540e-01
3.66295429	3.81844390e-01
3.66300661	3.66640340e-01
3.66305894	3.84809580e-01
3.66311127	3.85164720e-01
3.66316360	3.84774130e-01
3.66321593	3.77752850e-01
3.66326827	3.85326840e-01
3.66332060	3.85204760e-01
3.66337293	3.85406300e-01
3.66342526	3.85405570e-01
3.66347760	3.85591160e-01
3.66352993	3.84795850e-01
3.66358227	3.85310990e-01
3.66363461	3.85339370e-01
3.66368694	3.85233600e-01
3.66373928	3.85097600e-01
3.66379162	3.85087320e-01
3.66384396	3.85099310e-01
3.66389630	3.69815360e-01
