Wavelength (nm),Transmittance
1500.0,0.9956590000000001
1502.004008016032,0.9954460000000002
1504.0080160320642,0.9943430000000001
1506.0120240480962,0.9967840000000001
1508.0160320641282,0.9971130000000001
1510.0200400801602,0.9972960000000001
1512.0240480961925,0.996562
1514.0280561122245,0.996405
1516.0320641282565,0.996626
1518.0360721442885,0.9974690000000002
1520.0400801603207,0.997568
1522.0440881763527,0.9975630000000001
1524.0480961923847,0.9975550000000002
1526.0521042084167,0.997433
1528.056112224449,0.99702
1530.060120240481,0.9972100000000002
1532.064128256513,0.9973050000000001
1534.0681362725452,0.997017
1536.0721442885772,0.9962460000000001
1538.0761523046092,0.996248
1540.0801603206412,0.9953560000000001
1542.0841683366734,0.9918989999999999
1544.0881763527054,0.9733840000000001
1546.0921843687374,0.9209770000000002
1548.0961923847694,0.9236400000000002
1550.1002004008017,0.866725
1552.1042084168337,0.9681270000000001
1554.1082164328657,0.9908840000000001
1556.112224448898,0.9946969999999999
1558.11623246493,0.995915
1560.120240480962,0.9965600000000001
1562.124248496994,0.9967060000000001
1564.1282565130261,0.9948950000000001
1566.1322645290581,0.9954530000000001
1568.1362725450902,0.9816
1570.1402805611222,0.986621
1572.1442885771544,0.9948620000000001
1574.1482965931864,0.996402
1576.1523046092184,0.9964840000000001
1578.1563126252504,0.9958910000000001
1580.1603206412826,0.993352
1582.1643286573146,0.9741030000000002
1584.1683366733466,0.894964
1586.1723446893789,0.9851380000000001
1588.1763527054109,0.9881980000000001
1590.1803607214429,0.991869
1592.1843687374749,0.996146
1594.188376753507,0.995043
1596.192384769539,0.996702
1598.196392785571,0.996829
1600.200400801603,0.9963400000000001
1602.2044088176353,0.994407
1604.2084168336673,0.9872890000000001
1606.2124248496993,0.989782
1608.2164328657313,0.9805900000000001
1610.2204408817636,0.9934609999999999
1612.2244488977956,0.994626
1614.2284569138276,0.9936610000000001
1616.2324649298598,0.990701
1618.2364729458918,0.9773110000000002
1620.2404809619238,0.752885
1622.2444889779558,0.9177570000000002
1624.248496993988,0.545978
1626.25250501002,0.8751360000000001
1628.256513026052,0.9774039999999999
1630.260521042084,0.9889510000000001
1632.2645290581163,0.992282
1634.2685370741483,0.9879580000000001
1636.2725450901803,0.993655
1638.2765531062123,0.9942580000000001
1640.2805611222445,0.996113
1642.2845691382765,0.996759
1644.2885771543085,0.9966300000000001
1646.2925851703408,0.995962
1648.2965931863728,0.9963040000000001
1650.3006012024048,0.9966660000000002
1652.3046092184368,0.9960170000000003
1654.308617234469,0.995689
1656.312625250501,0.9936370000000001
1658.316633266533,0.989389
1660.320641282565,0.99434
1662.3246492985973,0.99563
1664.3286573146293,0.9934100000000001
1666.3326653306613,0.9909870000000001
1668.3366733466933,0.9899070000000001
1670.3406813627255,0.9893320000000001
1672.3446893787575,0.992693
1674.3486973947895,0.990865
1676.3527054108217,0.986616
1678.3567134268537,0.9762490000000001
1680.3607214428857,0.940097
1682.3647294589177,0.681428
1684.36873747495,0.599119
1686.372745490982,0.927011
1688.376753507014,0.9704900000000001
1690.380761523046,0.9828540000000001
1692.3847695390782,0.9894890000000001
1694.3887775551102,0.9912730000000001
1696.3927855711422,0.9932780000000001
1698.3967935871742,0.993941
1700.4008016032064,0.9937930000000001
1702.4048096192384,0.9936190000000001
1704.4088176352705,0.9901360000000001
1706.4128256513027,0.952024
1708.4168336673347,0.981576
1710.4208416833667,0.929219
1712.4248496993987,0.740086
1714.428857715431,0.9620370000000001
1716.432865731463,0.985422
1718.436873747495,0.984562
1720.440881763527,0.9916900000000001
1722.4448897795592,0.9919600000000001
1724.4488977955912,0.9870020000000002
1726.4529058116232,0.882492
1728.4569138276552,0.983163
1730.4609218436874,0.9867430000000001
1732.4649298597194,0.986859
1734.4689378757514,0.976856
1736.4729458917836,0.890317
1738.4769539078156,0.7306170000000001
1740.4809619238476,0.9240970000000001
1742.4849699398796,0.9793860000000001
1744.4889779559119,0.9840380000000001
1746.4929859719439,0.97827
1748.4969939879759,0.979588
1750.5010020040081,0.9792180000000001
1752.5050100200401,0.9637540000000001
1754.5090180360721,0.90012
1756.5130260521041,0.469604
1758.5170340681361,0.717775
1760.5210420841684,0.933797
1762.5250501002004,0.9565570000000001
1764.5290581162324,0.9342110000000001
1766.5330661322646,0.6884350000000001
1768.5370741482966,0.514375
1770.5410821643286,0.9175310000000001
1772.5450901803606,0.969379
1774.5490981963928,0.9822120000000001
1776.5531062124248,0.9865440000000001
1778.5571142284568,0.989028
1780.561122244489,0.9897520000000001
1782.565130260521,0.9896370000000001
1784.569138276553,0.9882230000000001
1786.573146292585,0.983858
1788.577154308617,0.9707200000000001
1790.5811623246493,0.909146
1792.5851703406813,0.604691
1794.5891783567133,0.8645670000000001
1796.5931863727455,0.964779
1798.5971943887776,0.981832
1800.6012024048096,0.986957
1802.6052104208416,0.988677
1804.6092184368738,0.988898
1806.6132264529058,0.9872900000000001
1808.6172344689378,0.982391
1810.62124248497,0.9573750000000001
1812.625250501002,0.901137
1814.629258517034,0.835475
1816.633266533066,0.611496
1818.637274549098,0.7378740000000001
1820.6412825651303,0.602
1822.6452905811623,0.916247
1824.6492985971943,0.968588
1826.6533066132265,0.9811940000000001
1828.6573146292585,0.9743950000000001
1830.6613226452905,0.987019
1832.6653306613225,0.9918989999999999
1834.6693386773547,0.9933079999999999
1836.6733466933867,0.9938409999999999
1838.6773547094188,0.9939090000000002
1840.681362725451,0.9934990000000001
1842.685370741483,0.9907150000000001
1844.689378757515,0.974262
1846.693386773547,0.833661
1848.697394789579,0.9606000000000001
1850.7014028056112,0.989572
1852.7054108216432,0.992813
1854.7094188376752,0.990963
1856.7134268537075,0.9928730000000001
1858.7174348697395,0.9860050000000001
1860.7214428857715,0.995593
1862.7254509018035,0.9928060000000001
1864.7294589178357,0.9962460000000001
1866.7334669338677,0.9967980000000001
1868.7374749498997,0.996856
1870.741482965932,0.9968730000000001
1872.745490981964,0.996531
1874.749498997996,0.994834
1876.753507014028,0.976426
1878.75751503006,0.986516
1880.7615230460922,0.9917640000000001
1882.7655310621242,0.9815070000000001
1884.7695390781564,0.9821770000000001
1886.7735470941884,0.9056170000000001
1888.7775551102204,0.8722210000000001
1890.7815631262524,0.9802010000000001
1892.7855711422844,0.9916019999999999
1894.7895791583167,0.993449
1896.7935871743487,0.9960480000000003
1898.7975951903807,0.996847
1900.801603206413,0.9970680000000001
