# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Tue May 26 06:38:48 2026
# Radiative transfer took 1.438 seconds
# Spectral unit: Wavelength[nm]
# ------------------------------------------------------------------------
# Wave/freq Total H2O CO2 O3 N2O CO CH4 O2 N2  Rayleigh CIA
2.430243012e+03 9.63352e-01 9.74058e-01 1.00000e+00 9.99999e-01 1.00000e+00 9.99999e-01 9.92252e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96874e-01
2.430251113e+03 9.66665e-01 9.76294e-01 1.00000e+00 9.99999e-01 1.00000e+00 9.99999e-01 9.93384e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96874e-01
2.430259213e+03 9.70158e-01 9.79730e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 9.93477e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96874e-01
2.430267314e+03 9.71881e-01 9.83158e-01 1.00000e+00 9.99999e-01 1.00000e+00 9.99999e-01 9.91772e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96874e-01
2.430275415e+03 9.69102e-01 9.86055e-01 1.00000e+00 9.99989e-01 1.00000e+00 9.99999e-01 9.86042e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96874e-01
2.430283516e+03 9.69714e-01 9.88330e-01 1.00000e+00 9.99992e-01 1.00000e+00 9.99999e-01 9.84387e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96874e-01
2.430291617e+03 9.78548e-01 9.90064e-01 1.00000e+00 9.99999e-01 1.00000e+00 9.99999e-01 9.91609e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96874e-01
2.430299718e+03 9.83021e-01 9.91371e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 9.94828e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96874e-01
2.430307819e+03 9.85633e-01 9.92354e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 9.96484e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96874e-01
2.430315920e+03 9.87251e-01 9.93090e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 9.97380e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96874e-01
2.430324021e+03 9.88243e-01 9.93636e-01 1.00000e+00 9.99999e-01 1.00000e+00 1.00000e+00 9.97834e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96874e-01
2.430332122e+03 9.88802e-01 9.94026e-01 1.00000e+00 9.99999e-01 1.00000e+00 1.00000e+00 9.98008e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96874e-01
2.430340223e+03 9.89385e-01 9.94279e-01 1.00000e+00 9.99996e-01 1.00000e+00 1.00000e+00 9.98343e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96874e-01
2.430348324e+03 9.89681e-01 9.94397e-01 1.00000e+00 9.99946e-01 1.00000e+00 1.00000e+00 9.98575e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96874e-01
2.430356426e+03 9.89670e-01 9.94355e-01 1.00000e+00 9.99964e-01 1.00000e+00 1.00000e+00 9.98587e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96874e-01
2.430364527e+03 9.89612e-01 9.94094e-01 1.00000e+00 9.99997e-01 1.00000e+00 1.00000e+00 9.98759e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96874e-01
2.430372628e+03 9.89242e-01 9.93485e-01 1.00000e+00 9.99998e-01 1.00000e+00 1.00000e+00 9.98996e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96874e-01
2.430380729e+03 9.88187e-01 9.92314e-01 1.00000e+00 9.99996e-01 1.00000e+00 1.00000e+00 9.99110e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96874e-01
2.430388830e+03 9.86349e-01 9.90487e-01 1.00000e+00 9.99942e-01 1.00000e+00 1.00000e+00 9.99145e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96874e-01
2.430396932e+03 9.84845e-01 9.89021e-01 1.00000e+00 9.99953e-01 1.00000e+00 1.00000e+00 9.99090e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96874e-01
2.430405033e+03 9.85425e-01 9.89647e-01 1.00000e+00 9.99989e-01 1.00000e+00 9.99999e-01 9.99010e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96874e-01
2.430413134e+03 9.87482e-01 9.91503e-01 1.00000e+00 9.99984e-01 1.00000e+00 9.99999e-01 9.99226e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96874e-01
2.430421236e+03 9.89141e-01 9.93013e-01 1.00000e+00 9.99998e-01 1.00000e+00 9.99999e-01 9.99368e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96874e-01
2.430429337e+03 9.90136e-01 9.93942e-01 1.00000e+00 9.99998e-01 9.99999e-01 9.99999e-01 9.99439e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96874e-01
2.430437439e+03 9.90724e-01 9.94511e-01 1.00000e+00 9.99993e-01 9.99999e-01 9.99999e-01 9.99465e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96874e-01
2.430445540e+03 9.91056e-01 9.94864e-01 1.00000e+00 9.99999e-01 9.99999e-01 9.99999e-01 9.99440e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96874e-01
2.430453642e+03 9.91249e-01 9.95041e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 9.99455e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430461743e+03 9.91292e-01 9.95032e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 9.99509e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430469845e+03 9.91050e-01 9.94797e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 9.99501e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
